Date,Open,High,Low,Close,Adj Close,Volume
0,1980-12-12,0.513393,0.515625,0.513393,0.513393,0.023007,117258400.0
1,1980-12-15,0.488839,0.488839,0.48660699999999996,0.48660699999999996,0.021807,43971200.0
2,1980-12-16,0.453125,0.453125,0.45089300000000004,0.45089300000000004,0.020206000000000002,26432000.0
3,1980-12-17,0.462054,0.464286,0.462054,0.462054,0.020706,21610400.0
4,1980-12-18,0.475446,0.477679,0.475446,0.475446,0.021307,18362400.0
5,1980-12-19,0.504464,0.506696,0.504464,0.504464,0.022607,12157600.0
6,1980-12-22,0.529018,0.53125,0.529018,0.529018,0.023707,9340800.0
7,1980-12-23,0.551339,0.553571,0.551339,0.551339,0.024708,11737600.0
8,1980-12-24,0.580357,0.582589,0.580357,0.580357,0.026008,12000800.0
9,1980-12-26,0.633929,0.636161,0.633929,0.633929,0.028408999999999997,13893600.0
10,1980-12-29,0.642857,0.645089,0.642857,0.642857,0.028808999999999998,23290400.0
11,1980-12-30,0.629464,0.629464,0.627232,0.627232,0.028109,17220000.0
12,1980-12-31,0.611607,0.611607,0.609375,0.609375,0.027308,8937600.0
13,1981-01-02,0.616071,0.620536,0.616071,0.616071,0.027607999999999997,5415200.0
14,1981-01-05,0.604911,0.604911,0.602679,0.602679,0.027007999999999997,8932000.0
15,1981-01-06,0.578125,0.578125,0.575893,0.575893,0.025807999999999998,11289600.0
16,1981-01-07,0.553571,0.553571,0.551339,0.551339,0.024708,13921600.0
17,1981-01-08,0.542411,0.542411,0.540179,0.540179,0.024207,9956800.0
18,1981-01-09,0.569196,0.571429,0.569196,0.569196,0.025508000000000003,5376000.0
19,1981-01-12,0.569196,0.569196,0.564732,0.564732,0.025308,5924800.0
20,1981-01-13,0.546875,0.546875,0.544643,0.544643,0.024406999999999998,5762400.0
21,1981-01-14,0.546875,0.549107,0.546875,0.546875,0.024508000000000002,3572800.0
22,1981-01-15,0.558036,0.5625,0.558036,0.558036,0.025008000000000002,3516800.0
23,1981-01-16,0.555804,0.555804,0.553571,0.553571,0.024808,3348800.0
24,1981-01-19,0.587054,0.589286,0.587054,0.587054,0.026307999999999998,10393600.0
25,1981-01-20,0.571429,0.571429,0.569196,0.569196,0.025508000000000003,7520800.0
26,1981-01-21,0.580357,0.584821,0.580357,0.580357,0.026008,3976000.0
27,1981-01-22,0.587054,0.591518,0.587054,0.587054,0.026307999999999998,8887200.0
28,1981-01-23,0.587054,0.589286,0.584821,0.584821,0.026208,2805600.0
29,1981-01-26,0.578125,0.578125,0.575893,0.575893,0.025807999999999998,6160000.0
30,1981-01-27,0.575893,0.575893,0.571429,0.571429,0.025608,5924800.0
31,1981-01-28,0.555804,0.555804,0.553571,0.553571,0.024808,7039200.0
32,1981-01-29,0.535714,0.535714,0.533482,0.533482,0.023906999999999998,10976000.0
33,1981-01-30,0.508929,0.508929,0.504464,0.504464,0.022607,11547200.0
34,1981-02-02,0.477679,0.477679,0.475446,0.475446,0.021307,5941600.0
35,1981-02-03,0.493304,0.495536,0.493304,0.493304,0.022106999999999998,4788000.0
36,1981-02-04,0.511161,0.513393,0.511161,0.511161,0.022907,6966400.0
37,1981-02-05,0.511161,0.515625,0.511161,0.511161,0.022907,1982400.0
38,1981-02-06,0.513393,0.515625,0.513393,0.513393,0.023007,3466400.0
39,1981-02-09,0.491071,0.491071,0.48660699999999996,0.48660699999999996,0.021807,4188800.0
40,1981-02-10,0.48660699999999996,0.488839,0.48660699999999996,0.48660699999999996,0.021807,4586400.0
41,1981-02-11,0.473214,0.473214,0.47098199999999996,0.47098199999999996,0.021106,3460800.0
42,1981-02-12,0.46875,0.46875,0.46651800000000004,0.46651800000000004,0.020906,3640000.0
43,1981-02-13,0.459821,0.459821,0.45535699999999996,0.45535699999999996,0.020406,2788800.0
44,1981-02-17,0.46651800000000004,0.46875,0.46651800000000004,0.46651800000000004,0.020906,3068800.0
45,1981-02-18,0.48660699999999996,0.491071,0.48660699999999996,0.48660699999999996,0.021807,4810400.0
46,1981-02-19,0.459821,0.459821,0.457589,0.457589,0.020506,5577600.0
47,1981-02-20,0.43526800000000004,0.43526800000000004,0.433036,0.433036,0.019406,6092800.0
48,1981-02-23,0.43973199999999996,0.441964,0.43973199999999996,0.43973199999999996,0.019706,3528000.0
49,1981-02-24,0.428571,0.428571,0.42410699999999996,0.42410699999999996,0.019006,4244800.0
50,1981-02-25,0.45089300000000004,0.453125,0.45089300000000004,0.45089300000000004,0.020206000000000002,4872000.0
51,1981-02-26,0.457589,0.459821,0.457589,0.457589,0.020506,2710400.0
52,1981-02-27,0.473214,0.477679,0.473214,0.473214,0.021207,3690400.0
53,1981-03-02,0.475446,0.477679,0.475446,0.475446,0.021307,2940000.0
54,1981-03-03,0.47098199999999996,0.47098199999999996,0.46875,0.46875,0.021006,4043200.0
55,1981-03-04,0.46651800000000004,0.46651800000000004,0.464286,0.464286,0.020806,3427200.0
56,1981-03-05,0.464286,0.464286,0.462054,0.462054,0.020706,1344000.0
57,1981-03-06,0.462054,0.462054,0.457589,0.457589,0.020506,2900800.0
58,1981-03-09,0.42410699999999996,0.42410699999999996,0.421875,0.421875,0.018906,3830400.0
59,1981-03-10,0.404018,0.404018,0.40178600000000003,0.40178600000000003,0.018006,7095200.0
60,1981-03-11,0.390625,0.390625,0.38616100000000003,0.38616100000000003,0.017305,7464800.0
61,1981-03-12,0.40178600000000003,0.404018,0.40178600000000003,0.40178600000000003,0.018006,14812000.0
62,1981-03-13,0.399554,0.399554,0.397321,0.397321,0.017805,57825600.0
63,1981-03-16,0.412946,0.417411,0.412946,0.412946,0.018506,9307200.0
64,1981-03-17,0.433036,0.4375,0.433036,0.433036,0.019406,10936800.0
65,1981-03-18,0.459821,0.464286,0.459821,0.459821,0.020606,9234400.0
66,1981-03-19,0.457589,0.457589,0.45535699999999996,0.45535699999999996,0.020406,9452800.0
67,1981-03-20,0.459821,0.464286,0.459821,0.459821,0.020606,3651200.0
68,1981-03-23,0.477679,0.48214300000000004,0.477679,0.477679,0.021407,5504800.0
69,1981-03-24,0.477679,0.477679,0.475446,0.475446,0.021307,7039200.0
70,1981-03-25,0.47098199999999996,0.47098199999999996,0.46651800000000004,0.46651800000000004,0.020906,1764000.0
71,1981-03-26,0.459821,0.459821,0.457589,0.457589,0.020506,3068800.0
72,1981-03-27,0.444196,0.444196,0.441964,0.441964,0.019806,3063200.0
73,1981-03-30,0.441964,0.446429,0.441964,0.441964,0.019806,2475200.0
74,1981-03-31,0.441964,0.441964,0.4375,0.4375,0.019606000000000002,3998400.0
75,1981-04-01,0.43526800000000004,0.43526800000000004,0.433036,0.433036,0.019406,8517600.0
